"","parameter","Value","Std. Error","p value","Odds","antibiotic","bacteria"
"45","key_sourcerespiratory",-0.568,0.072,0,0.567,"ampicillin sulbactam","Pseudomonas aeruginosa"
"46","key_sourceurine",-0.168,0.086,0.051,0.845,"ampicillin sulbactam","Pseudomonas aeruginosa"
"47","key_sourcewound",-0.003,0.078,0.966,0.997,"ampicillin sulbactam","Pseudomonas aeruginosa"
"48","year_scaled",-3.562,0.038,0,0.028,"ampicillin sulbactam","Pseudomonas aeruginosa"
"49","age_group0 to 2 Years",-0.257,0.041,0,0.773,"aztreonam","Pseudomonas aeruginosa"
"50","age_group3 to 12 Years",-0.32,0.041,0,0.726,"aztreonam","Pseudomonas aeruginosa"
"51","age_group13 to 18 Years",-0.298,0.057,0,0.743,"aztreonam","Pseudomonas aeruginosa"
"52","age_group65 to 84 Years",-0.116,0.017,0,0.891,"aztreonam","Pseudomonas aeruginosa"
"53","age_group85 and Over",-0.285,0.03,0,0.752,"aztreonam","Pseudomonas aeruginosa"
"54","genderm",0.187,0.016,0,1.206,"aztreonam","Pseudomonas aeruginosa"
"55","key_sourceblood",0.01,0.035,0.781,1.01,"aztreonam","Pseudomonas aeruginosa"
"56","key_sourcegastro",0.096,0.05,0.055,1.101,"aztreonam","Pseudomonas aeruginosa"
"57","key_sourcerespiratory",0.094,0.028,0.001,1.099,"aztreonam","Pseudomonas aeruginosa"
"58","key_sourceurine",0.067,0.033,0.045,1.069,"aztreonam","Pseudomonas aeruginosa"
"59","key_sourcewound",-0.066,0.03,0.027,0.936,"aztreonam","Pseudomonas aeruginosa"
"60","year_scaled",-0.052,0.003,0,0.949,"aztreonam","Pseudomonas aeruginosa"
"61","age_group0 to 2 Years",-0.098,0.042,0.019,0.907,"aztreonam avibactam","Pseudomonas aeruginosa"
"62","age_group3 to 12 Years",-0.222,0.042,0,0.801,"aztreonam avibactam","Pseudomonas aeruginosa"
"63","age_group13 to 18 Years",-0.273,0.058,0,0.761,"aztreonam avibactam","Pseudomonas aeruginosa"
"64","age_group65 to 84 Years",-0.104,0.018,0,0.901,"aztreonam avibactam","Pseudomonas aeruginosa"
"65","age_group85 and Over",-0.282,0.031,0,0.754,"aztreonam avibactam","Pseudomonas aeruginosa"
"66","genderm",0.184,0.016,0,1.203,"aztreonam avibactam","Pseudomonas aeruginosa"
"67","key_sourceblood",0.02,0.036,0.571,1.021,"aztreonam avibactam","Pseudomonas aeruginosa"
"68","key_sourcegastro",0.13,0.051,0.011,1.138,"aztreonam avibactam","Pseudomonas aeruginosa"
"69","key_sourcerespiratory",-0.025,0.029,0.39,0.976,"aztreonam avibactam","Pseudomonas aeruginosa"
"70","key_sourceurine",0.131,0.034,0,1.14,"aztreonam avibactam","Pseudomonas aeruginosa"
"71","key_sourcewound",-0.05,0.031,0.105,0.951,"aztreonam avibactam","Pseudomonas aeruginosa"
"72","year_scaled",-0.064,0.003,0,0.938,"aztreonam avibactam","Pseudomonas aeruginosa"
"73","age_group0 to 2 Years",-0.487,0.029,0,0.614,"cefepime","Pseudomonas aeruginosa"
"74","age_group3 to 12 Years",-0.366,0.028,0,0.694,"cefepime","Pseudomonas aeruginosa"
"75","age_group13 to 18 Years",-0.172,0.037,0,0.842,"cefepime","Pseudomonas aeruginosa"
"76","age_group65 to 84 Years",-0.165,0.012,0,0.848,"cefepime","Pseudomonas aeruginosa"
"77","age_group85 and Over",-0.356,0.022,0,0.7,"cefepime","Pseudomonas aeruginosa"
"78","genderm",0.12,0.011,0,1.128,"cefepime","Pseudomonas aeruginosa"
"79","key_sourceblood",0.04,0.022,0.071,1.041,"cefepime","Pseudomonas aeruginosa"
"80","key_sourcegastro",0.096,0.034,0.005,1.101,"cefepime","Pseudomonas aeruginosa"
"81","key_sourcerespiratory",0.278,0.018,0,1.32,"cefepime","Pseudomonas aeruginosa"
"82","key_sourceurine",0.139,0.022,0,1.149,"cefepime","Pseudomonas aeruginosa"
"83","key_sourcewound",-0.078,0.02,0,0.925,"cefepime","Pseudomonas aeruginosa"
"84","year_scaled",-0.034,0.001,0,0.966,"cefepime","Pseudomonas aeruginosa"
"85","age_group0 to 2 Years",-0.132,0.053,0.012,0.877,"cefoperazone sulbactam","Pseudomonas aeruginosa"
"86","age_group3 to 12 Years",-0.373,0.053,0,0.689,"cefoperazone sulbactam","Pseudomonas aeruginosa"
"87","age_group13 to 18 Years",-0.388,0.073,0,0.678,"cefoperazone sulbactam","Pseudomonas aeruginosa"
"88","age_group65 to 84 Years",-0.178,0.022,0,0.837,"cefoperazone sulbactam","Pseudomonas aeruginosa"
"89","age_group85 and Over",-0.353,0.039,0,0.703,"cefoperazone sulbactam","Pseudomonas aeruginosa"
"90","genderm",0.181,0.02,0,1.199,"cefoperazone sulbactam","Pseudomonas aeruginosa"
"91","key_sourceblood",-0.021,0.044,0.625,0.979,"cefoperazone sulbactam","Pseudomonas aeruginosa"
"92","key_sourcegastro",0.028,0.067,0.676,1.029,"cefoperazone sulbactam","Pseudomonas aeruginosa"
"93","key_sourcerespiratory",0.074,0.038,0.052,1.077,"cefoperazone sulbactam","Pseudomonas aeruginosa"
"94","key_sourceurine",0.112,0.045,0.013,1.119,"cefoperazone sulbactam","Pseudomonas aeruginosa"
"95","key_sourcewound",-0.098,0.041,0.017,0.907,"cefoperazone sulbactam","Pseudomonas aeruginosa"
"96","year_scaled",0.04,0.009,0,1.04,"cefoperazone sulbactam","Pseudomonas aeruginosa"
"97","age_group0 to 2 Years",-0.165,0.045,0,0.848,"ceftaroline","Pseudomonas aeruginosa"
"98","age_group3 to 12 Years",-0.097,0.045,0.031,0.908,"ceftaroline","Pseudomonas aeruginosa"
"99","age_group13 to 18 Years",-0.208,0.061,0.001,0.812,"ceftaroline","Pseudomonas aeruginosa"
"100","age_group65 to 84 Years",-0.083,0.019,0,0.92,"ceftaroline","Pseudomonas aeruginosa"
"101","age_group85 and Over",-0.104,0.033,0.001,0.901,"ceftaroline","Pseudomonas aeruginosa"
"102","genderm",0.086,0.017,0,1.089,"ceftaroline","Pseudomonas aeruginosa"
"103","key_sourceblood",0.126,0.038,0.001,1.134,"ceftaroline","Pseudomonas aeruginosa"
"104","key_sourcegastro",0.064,0.055,0.251,1.066,"ceftaroline","Pseudomonas aeruginosa"
"105","key_sourcerespiratory",0.089,0.031,0.004,1.094,"ceftaroline","Pseudomonas aeruginosa"
"106","key_sourceurine",0.041,0.037,0.262,1.042,"ceftaroline","Pseudomonas aeruginosa"
"107","key_sourcewound",0.069,0.033,0.037,1.071,"ceftaroline","Pseudomonas aeruginosa"
"108","year_scaled",-0.697,0.005,0,0.498,"ceftaroline","Pseudomonas aeruginosa"
"109","age_group0 to 2 Years",-0.247,0.029,0,0.781,"ceftazidime","Pseudomonas aeruginosa"
"110","age_group3 to 12 Years",-0.31,0.029,0,0.734,"ceftazidime","Pseudomonas aeruginosa"
"111","age_group13 to 18 Years",-0.223,0.039,0,0.8,"ceftazidime","Pseudomonas aeruginosa"
"112","age_group65 to 84 Years",-0.142,0.012,0,0.868,"ceftazidime","Pseudomonas aeruginosa"
"113","age_group85 and Over",-0.291,0.022,0,0.747,"ceftazidime","Pseudomonas aeruginosa"
"114","genderm",0.124,0.011,0,1.131,"ceftazidime","Pseudomonas aeruginosa"
"115","key_sourceblood",0.121,0.022,0,1.128,"ceftazidime","Pseudomonas aeruginosa"
"116","key_sourcegastro",0.108,0.034,0.002,1.114,"ceftazidime","Pseudomonas aeruginosa"
"117","key_sourcerespiratory",0.232,0.018,0,1.261,"ceftazidime","Pseudomonas aeruginosa"
"118","key_sourceurine",0.129,0.023,0,1.137,"ceftazidime","Pseudomonas aeruginosa"
"119","key_sourcewound",-0.036,0.02,0.07,0.964,"ceftazidime","Pseudomonas aeruginosa"
"120","year_scaled",-0.104,0.001,0,0.901,"ceftazidime","Pseudomonas aeruginosa"
"121","age_group0 to 2 Years",-0.21,0.043,0,0.81,"ceftazidime avibactam","Pseudomonas aeruginosa"
"122","age_group3 to 12 Years",-0.29,0.042,0,0.748,"ceftazidime avibactam","Pseudomonas aeruginosa"
"123","age_group13 to 18 Years",-0.234,0.058,0,0.792,"ceftazidime avibactam","Pseudomonas aeruginosa"
"124","age_group65 to 84 Years",-0.147,0.018,0,0.864,"ceftazidime avibactam","Pseudomonas aeruginosa"
"125","age_group85 and Over",-0.319,0.031,0,0.727,"ceftazidime avibactam","Pseudomonas aeruginosa"
"126","genderm",0.172,0.016,0,1.188,"ceftazidime avibactam","Pseudomonas aeruginosa"
"127","key_sourceblood",0.046,0.036,0.207,1.047,"ceftazidime avibactam","Pseudomonas aeruginosa"
"128","key_sourcegastro",0.119,0.052,0.023,1.126,"ceftazidime avibactam","Pseudomonas aeruginosa"
"129","key_sourcerespiratory",0.083,0.029,0.004,1.087,"ceftazidime avibactam","Pseudomonas aeruginosa"
"130","key_sourceurine",0.143,0.035,0,1.154,"ceftazidime avibactam","Pseudomonas aeruginosa"
"131","key_sourcewound",-0.062,0.031,0.045,0.94,"ceftazidime avibactam","Pseudomonas aeruginosa"
"132","year_scaled",-0.007,0.003,0.016,0.993,"ceftazidime avibactam","Pseudomonas aeruginosa"
"133","age_group0 to 2 Years",-0.231,0.067,0.001,0.794,"ceftolozane tazobactam","Pseudomonas aeruginosa"
"134","age_group3 to 12 Years",-0.304,0.065,0,0.738,"ceftolozane tazobactam","Pseudomonas aeruginosa"
"135","age_group13 to 18 Years",-0.157,0.091,0.084,0.855,"ceftolozane tazobactam","Pseudomonas aeruginosa"
"136","age_group65 to 84 Years",-0.122,0.027,0,0.885,"ceftolozane tazobactam","Pseudomonas aeruginosa"
"137","age_group85 and Over",-0.299,0.048,0,0.742,"ceftolozane tazobactam","Pseudomonas aeruginosa"
"138","genderm",0.114,0.025,0,1.121,"ceftolozane tazobactam","Pseudomonas aeruginosa"
"139","key_sourceblood",0.061,0.056,0.272,1.063,"ceftolozane tazobactam","Pseudomonas aeruginosa"
"140","key_sourcegastro",0.112,0.087,0.195,1.119,"ceftolozane tazobactam","Pseudomonas aeruginosa"
"141","key_sourcerespiratory",0.217,0.048,0,1.242,"ceftolozane tazobactam","Pseudomonas aeruginosa"
"142","key_sourceurine",0.169,0.057,0.003,1.184,"ceftolozane tazobactam","Pseudomonas aeruginosa"
"143","key_sourcewound",-0.04,0.052,0.445,0.961,"ceftolozane tazobactam","Pseudomonas aeruginosa"
"144","year_scaled",0.298,0.009,0,1.347,"ceftolozane tazobactam","Pseudomonas aeruginosa"
"145","age_group0 to 2 Years",-0.243,0.045,0,0.784,"ceftriaxone","Pseudomonas aeruginosa"
"146","age_group3 to 12 Years",-0.213,0.043,0,0.808,"ceftriaxone","Pseudomonas aeruginosa"
"147","age_group13 to 18 Years",-0.163,0.056,0.004,0.849,"ceftriaxone","Pseudomonas aeruginosa"
"148","age_group65 to 84 Years",-0.088,0.018,0,0.916,"ceftriaxone","Pseudomonas aeruginosa"
"149","age_group85 and Over",-0.198,0.033,0,0.821,"ceftriaxone","Pseudomonas aeruginosa"
"150","genderm",0.078,0.017,0,1.081,"ceftriaxone","Pseudomonas aeruginosa"
"151","key_sourceblood",-0.004,0.031,0.897,0.996,"ceftriaxone","Pseudomonas aeruginosa"
"152","key_sourcegastro",-0.036,0.05,0.474,0.965,"ceftriaxone","Pseudomonas aeruginosa"
"153","key_sourcerespiratory",-0.154,0.025,0,0.857,"ceftriaxone","Pseudomonas aeruginosa"
"154","key_sourceurine",-0.184,0.032,0,0.832,"ceftriaxone","Pseudomonas aeruginosa"
"155","key_sourcewound",-0.153,0.028,0,0.858,"ceftriaxone","Pseudomonas aeruginosa"
"156","year_scaled",-0.226,0.002,0,0.798,"ceftriaxone","Pseudomonas aeruginosa"
"157","age_group0 to 2 Years",-0.304,0.049,0,0.738,"ciprofloxacin","Pseudomonas aeruginosa"
"158","age_group3 to 12 Years",-0.348,0.049,0,0.706,"ciprofloxacin","Pseudomonas aeruginosa"
"159","age_group13 to 18 Years",-0.083,0.066,0.211,0.921,"ciprofloxacin","Pseudomonas aeruginosa"
"160","age_group65 to 84 Years",-0.139,0.021,0,0.871,"ciprofloxacin","Pseudomonas aeruginosa"
"161","age_group85 and Over",-0.338,0.037,0,0.713,"ciprofloxacin","Pseudomonas aeruginosa"
"162","genderm",0.126,0.019,0,1.134,"ciprofloxacin","Pseudomonas aeruginosa"
"163","key_sourceblood",-0.103,0.042,0.015,0.902,"ciprofloxacin","Pseudomonas aeruginosa"
"164","key_sourcegastro",-0.036,0.061,0.558,0.965,"ciprofloxacin","Pseudomonas aeruginosa"
"165","key_sourcerespiratory",0.13,0.036,0,1.139,"ciprofloxacin","Pseudomonas aeruginosa"
"166","key_sourceurine",0.158,0.043,0,1.171,"ciprofloxacin","Pseudomonas aeruginosa"
"167","key_sourcewound",-0.086,0.04,0.03,0.918,"ciprofloxacin","Pseudomonas aeruginosa"
"168","year_scaled",-0.161,0.009,0,0.851,"ciprofloxacin","Pseudomonas aeruginosa"
"169","age_group0 to 2 Years",0.137,0.046,0.003,1.147,"colistin","Pseudomonas aeruginosa"
"170","age_group3 to 12 Years",-0.068,0.046,0.142,0.934,"colistin","Pseudomonas aeruginosa"
"171","age_group13 to 18 Years",-0.072,0.062,0.246,0.93,"colistin","Pseudomonas aeruginosa"
"172","age_group65 to 84 Years",-0.062,0.019,0.001,0.94,"colistin","Pseudomonas aeruginosa"
"173","age_group85 and Over",-0.075,0.033,0.025,0.928,"colistin","Pseudomonas aeruginosa"
"174","genderm",0.064,0.018,0,1.066,"colistin","Pseudomonas aeruginosa"
"175","key_sourceblood",0.047,0.039,0.226,1.048,"colistin","Pseudomonas aeruginosa"
"176","key_sourcegastro",0.086,0.058,0.136,1.09,"colistin","Pseudomonas aeruginosa"
"177","key_sourcerespiratory",-0.179,0.032,0,0.836,"colistin","Pseudomonas aeruginosa"
"178","key_sourceurine",-0.102,0.038,0.007,0.903,"colistin","Pseudomonas aeruginosa"
"179","key_sourcewound",-0.026,0.034,0.455,0.975,"colistin","Pseudomonas aeruginosa"
"180","year_scaled",-0.324,0.004,0,0.723,"colistin","Pseudomonas aeruginosa"
"181","age_group0 to 2 Years",-0.464,0.066,0,0.629,"doripenem","Pseudomonas aeruginosa"
"182","age_group3 to 12 Years",-0.447,0.066,0,0.639,"doripenem","Pseudomonas aeruginosa"
"183","age_group13 to 18 Years",-0.412,0.09,0,0.662,"doripenem","Pseudomonas aeruginosa"
"184","age_group65 to 84 Years",-0.162,0.027,0,0.85,"doripenem","Pseudomonas aeruginosa"
"185","age_group85 and Over",-0.395,0.047,0,0.674,"doripenem","Pseudomonas aeruginosa"
"186","genderm",0.157,0.025,0,1.17,"doripenem","Pseudomonas aeruginosa"
"187","key_sourceblood",0.065,0.069,0.343,1.068,"doripenem","Pseudomonas aeruginosa"
"188","key_sourcegastro",0.157,0.076,0.038,1.17,"doripenem","Pseudomonas aeruginosa"
"189","key_sourcerespiratory",0.174,0.041,0,1.19,"doripenem","Pseudomonas aeruginosa"
"190","key_sourceurine",0.038,0.049,0.433,1.039,"doripenem","Pseudomonas aeruginosa"
"191","key_sourcewound",-0.139,0.044,0.002,0.87,"doripenem","Pseudomonas aeruginosa"
"192","year_scaled",0.023,0.008,0.005,1.023,"doripenem","Pseudomonas aeruginosa"
"193","age_group0 to 2 Years",-0.059,0.044,0.175,0.943,"gentamicin","Pseudomonas aeruginosa"
"194","age_group3 to 12 Years",-0.042,0.043,0.336,0.959,"gentamicin","Pseudomonas aeruginosa"
"195","age_group13 to 18 Years",0.099,0.06,0.097,1.104,"gentamicin","Pseudomonas aeruginosa"
"196","age_group65 to 84 Years",-0.202,0.019,0,0.817,"gentamicin","Pseudomonas aeruginosa"
"197","age_group85 and Over",-0.33,0.034,0,0.719,"gentamicin","Pseudomonas aeruginosa"
"198","genderm",0.067,0.017,0,1.069,"gentamicin","Pseudomonas aeruginosa"
"199","key_sourceblood",0.061,0.037,0.103,1.063,"gentamicin","Pseudomonas aeruginosa"
"200","key_sourcegastro",0.081,0.058,0.161,1.085,"gentamicin","Pseudomonas aeruginosa"
"201","key_sourcerespiratory",0.252,0.031,0,1.286,"gentamicin","Pseudomonas aeruginosa"
"202","key_sourceurine",0.264,0.039,0,1.302,"gentamicin","Pseudomonas aeruginosa"
"203","key_sourcewound",-0.001,0.035,0.974,0.999,"gentamicin","Pseudomonas aeruginosa"
"204","year_scaled",-0.049,0.006,0,0.952,"gentamicin","Pseudomonas aeruginosa"
"205","age_group0 to 2 Years",-0.243,0.035,0,0.784,"imipenem","Pseudomonas aeruginosa"
"206","age_group3 to 12 Years",-0.368,0.035,0,0.692,"imipenem","Pseudomonas aeruginosa"
"207","age_group13 to 18 Years",-0.301,0.047,0,0.74,"imipenem","Pseudomonas aeruginosa"
"208","age_group65 to 84 Years",-0.184,0.015,0,0.832,"imipenem","Pseudomonas aeruginosa"
"209","age_group85 and Over",-0.313,0.026,0,0.731,"imipenem","Pseudomonas aeruginosa"
"210","genderm",0.135,0.014,0,1.145,"imipenem","Pseudomonas aeruginosa"
"211","key_sourceblood",0.055,0.03,0.062,1.057,"imipenem","Pseudomonas aeruginosa"
"212","key_sourcegastro",0.3,0.044,0,1.35,"imipenem","Pseudomonas aeruginosa"
"213","key_sourcerespiratory",0.184,0.024,0,1.202,"imipenem","Pseudomonas aeruginosa"
"214","key_sourceurine",0.179,0.029,0,1.195,"imipenem","Pseudomonas aeruginosa"
"215","key_sourcewound",-0.03,0.026,0.244,0.971,"imipenem","Pseudomonas aeruginosa"
"216","year_scaled",0.062,0.002,0,1.064,"imipenem","Pseudomonas aeruginosa"
"217","age_group0 to 2 Years",-0.704,0.03,0,0.494,"levofloxacin","Pseudomonas aeruginosa"
"218","age_group3 to 12 Years",-0.522,0.029,0,0.594,"levofloxacin","Pseudomonas aeruginosa"
"219","age_group13 to 18 Years",-0.288,0.038,0,0.75,"levofloxacin","Pseudomonas aeruginosa"
"220","age_group65 to 84 Years",-0.143,0.013,0,0.867,"levofloxacin","Pseudomonas aeruginosa"
"221","age_group85 and Over",-0.307,0.023,0,0.736,"levofloxacin","Pseudomonas aeruginosa"
"222","genderm",0.127,0.012,0,1.136,"levofloxacin","Pseudomonas aeruginosa"
"223","key_sourceblood",-0.044,0.023,0.054,0.957,"levofloxacin","Pseudomonas aeruginosa"
"224","key_sourcegastro",0.012,0.036,0.73,1.012,"levofloxacin","Pseudomonas aeruginosa"
"225","key_sourcerespiratory",0.171,0.018,0,1.187,"levofloxacin","Pseudomonas aeruginosa"
"226","key_sourceurine",0.21,0.023,0,1.234,"levofloxacin","Pseudomonas aeruginosa"
"227","key_sourcewound",-0.051,0.02,0.012,0.951,"levofloxacin","Pseudomonas aeruginosa"
"228","year_scaled",-0.041,0.001,0,0.959,"levofloxacin","Pseudomonas aeruginosa"
"229","age_group0 to 2 Years",-0.259,0.03,0,0.772,"meropenem","Pseudomonas aeruginosa"
"230","age_group3 to 12 Years",-0.384,0.03,0,0.681,"meropenem","Pseudomonas aeruginosa"
"231","age_group13 to 18 Years",-0.222,0.04,0,0.801,"meropenem","Pseudomonas aeruginosa"
"232","age_group65 to 84 Years",-0.191,0.013,0,0.826,"meropenem","Pseudomonas aeruginosa"
"233","age_group85 and Over",-0.388,0.022,0,0.678,"meropenem","Pseudomonas aeruginosa"
"234","genderm",0.156,0.012,0,1.169,"meropenem","Pseudomonas aeruginosa"
"235","key_sourceblood",0.043,0.023,0.063,1.044,"meropenem","Pseudomonas aeruginosa"
"236","key_sourcegastro",0.067,0.035,0.055,1.07,"meropenem","Pseudomonas aeruginosa"
"237","key_sourcerespiratory",0.121,0.019,0,1.128,"meropenem","Pseudomonas aeruginosa"
"238","key_sourceurine",0.008,0.023,0.718,1.008,"meropenem","Pseudomonas aeruginosa"
"239","key_sourcewound",-0.15,0.021,0,0.861,"meropenem","Pseudomonas aeruginosa"
"240","year_scaled",-0.037,0.001,0,0.964,"meropenem","Pseudomonas aeruginosa"
"241","age_group0 to 2 Years",-0.003,0.071,0.963,0.997,"meropenem vaborbactam","Pseudomonas aeruginosa"
"242","age_group3 to 12 Years",-0.365,0.069,0,0.694,"meropenem vaborbactam","Pseudomonas aeruginosa"
"243","age_group13 to 18 Years",-0.058,0.093,0.528,0.943,"meropenem vaborbactam","Pseudomonas aeruginosa"
"244","age_group65 to 84 Years",-0.19,0.029,0,0.827,"meropenem vaborbactam","Pseudomonas aeruginosa"
"245","age_group85 and Over",-0.296,0.051,0,0.743,"meropenem vaborbactam","Pseudomonas aeruginosa"
"246","genderm",0.171,0.027,0,1.187,"meropenem vaborbactam","Pseudomonas aeruginosa"
"247","key_sourceblood",-0.013,0.058,0.825,0.987,"meropenem vaborbactam","Pseudomonas aeruginosa"
"248","key_sourcegastro",0.277,0.091,0.002,1.319,"meropenem vaborbactam","Pseudomonas aeruginosa"
"249","key_sourcerespiratory",0.131,0.05,0.009,1.14,"meropenem vaborbactam","Pseudomonas aeruginosa"
"250","key_sourceurine",0.033,0.06,0.582,1.034,"meropenem vaborbactam","Pseudomonas aeruginosa"
"251","key_sourcewound",-0.114,0.054,0.035,0.892,"meropenem vaborbactam","Pseudomonas aeruginosa"
"252","year_scaled",0.016,0.026,0.529,1.017,"meropenem vaborbactam","Pseudomonas aeruginosa"
"253","age_group0 to 2 Years",-0.202,0.056,0,0.817,"minocycline","Pseudomonas aeruginosa"
"254","age_group3 to 12 Years",-0.104,0.055,0.059,0.901,"minocycline","Pseudomonas aeruginosa"
"255","age_group13 to 18 Years",-0.097,0.071,0.171,0.908,"minocycline","Pseudomonas aeruginosa"
"256","age_group65 to 84 Years",-0.089,0.024,0,0.915,"minocycline","Pseudomonas aeruginosa"
"257","age_group85 and Over",-0.24,0.043,0,0.787,"minocycline","Pseudomonas aeruginosa"
"258","genderm",0.099,0.022,0,1.104,"minocycline","Pseudomonas aeruginosa"
"259","key_sourceblood",-0.138,0.038,0,0.871,"minocycline","Pseudomonas aeruginosa"
"260","key_sourcegastro",-0.051,0.065,0.428,0.95,"minocycline","Pseudomonas aeruginosa"
"261","key_sourcerespiratory",-0.084,0.031,0.007,0.92,"minocycline","Pseudomonas aeruginosa"
"262","key_sourceurine",0.112,0.044,0.012,1.118,"minocycline","Pseudomonas aeruginosa"
"263","key_sourcewound",-0.064,0.036,0.079,0.938,"minocycline","Pseudomonas aeruginosa"
"264","year_scaled",-0.027,0.003,0,0.974,"minocycline","Pseudomonas aeruginosa"
"265","age_group0 to 2 Years",-0.329,0.028,0,0.72,"piperacillin tazobactam","Pseudomonas aeruginosa"
"266","age_group3 to 12 Years",-0.417,0.028,0,0.659,"piperacillin tazobactam","Pseudomonas aeruginosa"
"267","age_group13 to 18 Years",-0.382,0.038,0,0.682,"piperacillin tazobactam","Pseudomonas aeruginosa"
"268","age_group65 to 84 Years",-0.143,0.012,0,0.867,"piperacillin tazobactam","Pseudomonas aeruginosa"
"269","age_group85 and Over",-0.317,0.022,0,0.728,"piperacillin tazobactam","Pseudomonas aeruginosa"
"270","genderm",0.158,0.011,0,1.171,"piperacillin tazobactam","Pseudomonas aeruginosa"
